country_code,country_name,continent,population,air_pollution_pm25,infant_mortality_rate,life_expectancy_both,life_expectancy_female,life_expectancy_male,obesity_prevalence,tuberculosis_incidence,under5_mortality_rate,adult_literacy_rate,basic_water_access_pct,gdp_per_capita,health_expenditure_per_capita,hospital_beds_per_1000,measles_immunization_pct,neonatal_mortality_rate,physicians_per_1000,population_total,urban_population_pct,cases_per_1m,deaths_per_1m,case_fatality_rate,health_system_index,socioeconomic_index,health_outcome_score
SPM,Saint Pierre Miquelon,North America,5759.0,10.22044,46.3327198,75.29554064,21.44475675,65.4608084,31.235856,93.5,12.224410456,91.40634550729564,96.7258902380545,11673.7394555761,465.63766479,2.1149999999999998,92.0,9.7,2.3970000000000002,385829.0,71.4382284948964,599410.0,347.0,0.0579,0.46438071639994716,0.5417096279086174,0.2744232305723171
SRB,Serbia,Europe,8653016.0,21.73909,0.270000011,75.91665371,17.92946342,67.93572728,18.723874,97.0,5.355053695,99.61000061035155,99.98573708972265,40408.2848574751,2908.83154297,5.050000000000001,95.0,2.3,3.892,5668014.0,72.76538205339385,302213.0,2087.0,0.6905,0.6471878184943698,0.668915231382778,0.6723749188460371
SSA,Sub-Saharan Africa (excluding high income),,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
SSD,South Sudan,Africa,11618511.0,20.647,10.60001993,56.78408521,16.64837199,52.00308451,4.2486094,61.0,66.726309281,49.0,70.944581483911,1960.40808854893,61.43383788999999,1.1400000000000001,77.5,25.25,0.1265,12491045.5,46.293553777071,1620.0,13.0,0.7811,0.25566369694591295,0.20952989939034783,-0.4333370418804257
SSF,Sub-Saharan Africa,,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
SST,Small states,,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
STP,Sao Tome and Principe,Africa,227679.0,36.23517,10.60001993,73.18211267,17.7725705,62.80270775,14.763755,95.0,9.977687953,49.0,70.944581483911,1960.40808854893,61.43383788999999,1.1400000000000001,77.5,25.25,0.1265,12491045.5,46.293553777071,29770.0,351.0,1.1803,0.25566369694591295,0.20952989939034783,0.488431804408548
SUR,Suriname,South America,596831.0,12.17056,1.851508975,73.02285851,20.68990284,63.11979056,17.454103,77.0,19.139002371,94.57131334997685,95.41614476396654,6472.54544924705,507.06231689,2.02,91.0,7.4,2.3354999999999997,19197744.0,77.4595528518377,138378.0,2359.0,1.7048,0.4554984946667363,0.5664195443590224,0.46594405657911225
SVK,Slovakia,Europe,5460193.0,16.63755,26.87999916,80.90340137,23.51496331,67.47785011,27.703816,97.0,4.411346792,99.61000061035155,99.98573708972265,40408.2848574751,2908.83154297,5.050000000000001,95.0,2.3,3.892,5668014.0,72.76538205339385,343872.0,3887.0,1.1304,0.6471878184943698,0.668915231382778,0.6250745821922845
SVN,Slovenia,Europe,2078034.0,15.93989,0.059999999,84.03714131,23.8236893,71.68564858,22.142912,95.0,1.951905005,99.61000061035155,99.98573708972265,40408.2848574751,2908.83154297,5.050000000000001,95.0,2.3,3.892,5668014.0,72.76538205339385,652803.0,3417.0,0.5234,0.6471878184943698,0.668915231382778,0.9160042264814505
SWE,Sweden,Europe,10218971.0,5.95539,3.380000114,82.71414637,25.91262804,71.32730344,14.998071,98.0,2.155112219,99.61000061035155,99.98573708972265,40408.2848574751,2908.83154297,5.050000000000001,95.0,2.3,3.892,5668014.0,72.76538205339385,269511.0,2682.0,0.9951,0.6471878184943698,0.668915231382778,0.856384327814955
SWZ,Eswatini,Africa,1184817.0,15.71279,10.60001993,59.37615097,16.13448742,46.64054774,27.744937,90.0,52.903257871,49.0,74.3032304184965,3913.14577547336,320.05084229,1.1400000000000001,81.0,27.0,0.1265,1179874.0,24.3459549517751,63462.0,1204.0,1.8978,0.2859755074126841,0.12508085646200645,-0.24552599763486982
SXM,Sint Maarten,North America,43966.0,10.22044,46.3327198,75.29554064,21.44475675,65.4608084,31.235856,93.5,12.224410456,91.40634550729564,96.7258902380545,11673.7394555761,465.63766479,2.1149999999999998,92.0,9.7,2.3970000000000002,385829.0,71.4382284948964,251353.0,2093.0,0.8325,0.46438071639994716,0.5417096279086174,0.2744232305723171
SYC,Seychelles,Africa,99426.0,17.43533,69.0,76.65300423,21.23312106,62.52233283,27.877891,99.0,14.542542338,49.0,70.944581483911,1960.40808854893,61.43383788999999,1.1400000000000001,77.5,25.25,0.1265,12491045.5,46.293553777071,515157.0,1730.0,0.3358,0.25566369694591295,0.20952989939034783,0.13135774916955423
SYR,Syrian Arab Republic,Asia,19364809.0,24.89948,2.40712595,73.49105514,18.71446517,59.66442532,32.668421,67.0,21.519563828,87.6600036621094,97.9415735149907,4805.75371765917,279.27058410999996,2.615,97.0,8.6,2.255,17845429.5,63.8573092590878,2982.0,163.0,5.4812,0.48287500116152937,0.473030978489054,0.45366319655654674
TCA,Turks and Caicos Islands,North America,39741.0,10.22044,0.248570725,75.29554064,21.44475675,65.4608084,31.235856,93.5,4.246707336,91.40634550729564,96.7258902380545,11673.7394555761,465.63766479,2.1149999999999998,92.0,9.7,2.3970000000000002,385829.0,71.4382284948964,169900.0,1007.0,0.5924,0.46438071639994716,0.5417096279086174,0.6658778679506541
TCD,Chad,Africa,17413580.0,60.70114,10.60001993,59.37353739,15.33531524,51.7750884,5.8463652,53.0,65.467495826,30.6299991607666,50.4980631195055,893.336441643325,30.23690224,1.1400000000000001,40.0,33.2,0.052,16685223.0,24.2731047386633,442.0,11.0,2.5192,0.06834853276648464,0.029018114719495253,-0.3546105735561604
TEA,East Asia & Pacific (IDA & IBRD countries),,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
TEC,Europe & Central Asia (IDA & IBRD countries),,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
TGO,Togo,Africa,8680837.0,33.87421,10.60001993,63.64852176,16.38398124,55.80712266,9.9421658,86.0,36.083605296,49.0,70.944581483911,1960.40808854893,61.43383788999999,1.1400000000000001,77.5,25.25,0.1265,12491045.5,46.293553777071,4559.0,33.0,0.7328,0.25566369694591295,0.20952989939034783,0.012284002357426826
THA,Thailand,Asia,70078203.0,26.34244,0.0,73.3049176,23.43124953,67.1419192,16.517694,97.0,8.080303504,87.6600036621094,97.9415735149907,4805.75371765917,279.27058410999996,2.615,97.0,8.6,2.255,17845429.5,63.8573092590878,68069.0,494.0,0.7251,0.48287500116152937,0.473030978489054,0.5822290442707374
TJK,Tajikistan,Asia,9957464.0,53.85278,39.16928101,75.37171528,20.10328131,64.91224613,17.888746,97.0,23.286252178,87.6600036621094,97.9415735149907,4805.75371765917,279.27058410999996,2.615,97.0,8.6,2.255,17845429.5,63.8573092590878,1786.0,13.0,0.7028,0.48287500116152937,0.473030978489054,0.23052650556176002
TKL,Tokelau,Australia-Oceania,1378.0,7.995995,0.034125432,68.527122495,17.45140595,60.37984099,64.424163,94.5,18.897071967000002,87.6600036621094,97.67658476709235,13712.331325228035,254.83047485,2.1149999999999998,94.0,12.6,3.808,596966.5,59.2461548826604,58055.0,0.0,0.0,0.499516567513225,0.47979522832656557,0.36303125937379926
TLA,Latin America & the Caribbean (IDA & IBRD countries),,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
